entity_id,state,last_changed
sensor.ac_plug_voltaje,215.1,2025-08-01T10:25:20.766Z
sensor.ac_plug_voltaje,218.8,2025-08-01T10:26:15.668Z
sensor.ac_plug_voltaje,210.2,2025-08-01T10:26:37.771Z
sensor.ac_plug_voltaje,216.2,2025-08-01T10:27:10.719Z
sensor.ac_plug_voltaje,209.5,2025-08-01T10:28:28.847Z
sensor.ac_plug_voltaje,214.1,2025-08-01T10:28:51.019Z
sensor.ac_plug_voltaje,216.6,2025-08-01T10:29:45.886Z
sensor.ac_plug_voltaje,212.3,2025-08-01T10:32:32.148Z
sensor.ac_plug_voltaje,216.6,2025-08-01T10:33:05.025Z
sensor.ac_plug_voltaje,210.5,2025-08-01T10:33:27.163Z
sensor.ac_plug_voltaje,209.8,2025-08-01T10:34:34.113Z
sensor.ac_plug_voltaje,213.7,2025-08-01T10:36:13.366Z
sensor.ac_plug_voltaje,208.1,2025-08-01T10:37:09.425Z
sensor.ac_plug_voltaje,214.8,2025-08-01T10:37:20.438Z
sensor.ac_plug_voltaje,209.5,2025-08-01T10:38:37.428Z
sensor.ac_plug_voltaje,216.2,2025-08-01T10:38:59.503Z
sensor.ac_plug_voltaje,209.8,2025-08-01T10:39:10.465Z
sensor.ac_plug_voltaje,218.4,2025-08-01T10:39:43.694Z
sensor.ac_plug_voltaje,unavailable,2025-08-01T10:40:00.197Z
sensor.ac_plug_voltaje,218.4,2025-08-01T10:40:04.137Z
sensor.ac_plug_voltaje,213.7,2025-08-01T10:45:49.798Z
sensor.ac_plug_voltaje,217.0,2025-08-01T10:47:39.926Z
sensor.ac_plug_voltaje,218.4,2025-08-01T10:49:19.888Z
sensor.ac_plug_voltaje,210.5,2025-08-01T10:52:17.288Z
sensor.ac_plug_voltaje,209.8,2025-08-01T10:53:56.117Z
sensor.ac_plug_voltaje,208.5,2025-08-01T10:55:25.441Z
sensor.ac_plug_voltaje,214.1,2025-08-01T10:55:36.398Z
sensor.ac_plug_voltaje,208.5,2025-08-01T10:58:33.442Z
sensor.ac_plug_voltaje,214.4,2025-08-01T10:58:44.466Z
sensor.ac_plug_voltaje,218.4,2025-08-01T10:59:06.611Z
sensor.ac_plug_voltaje,unavailable,2025-08-01T11:00:00.198Z
sensor.ac_plug_voltaje,218.4,2025-08-01T11:00:11.535Z
sensor.ac_plug_voltaje,215.9,2025-08-01T11:07:13.995Z
